date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:18:16	37083/37083	---M-Z	200	added ('OK')	text/html	etag:%229e6dc9fdaf71a66539d4be89f81cb01c-ssl-df%22	https://vincentetdussault.com/	C:/Users/Administrator/Desktop/DDCI%20VICENTE/vincentetdussault.com/index.html	(from )
09:18:16	22/22	---M--	200	added ('OK')	text/plain	etag:%226102e848716ac87829a61d20deba1df4-ssl%22	https://vincentetdussault.com/robots.txt		(from )
09:18:16	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2031%20Jan%202025%2015:17:58%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Administrator/Desktop/DDCI%20VICENTE/www.googletagmanager.com/gtm.05445.delayed	(from https://vincentetdussault.com/)
09:18:18	6568/6568	---M--	200	added ('OK')	image/png	etag:%225ed7bca4a2143137ccc0760b58588069-ssl%22	https://vincentetdussault.com/apple-touch-icon.png	C:/Users/Administrator/Desktop/DDCI%20VICENTE/vincentetdussault.com/apple-touch-icon.png	(from https://vincentetdussault.com/)
09:18:18	1066/1066	---M--	200	added ('OK')	image/png	etag:%223fc0b3a308da7cbfae6924dc1e85da5c-ssl%22	https://vincentetdussault.com/favicon-32x32.png	C:/Users/Administrator/Desktop/DDCI%20VICENTE/vincentetdussault.com/favicon-32x32.png	(from https://vincentetdussault.com/)
09:18:19	435/435	---M--	200	added ('OK')	image/png	etag:%226fae5d3bc394897471e4691eef66ae06-ssl%22	https://vincentetdussault.com/favicon-16x16.png	C:/Users/Administrator/Desktop/DDCI%20VICENTE/vincentetdussault.com/favicon-16x16.png	(from https://vincentetdussault.com/)
09:18:19	263/263	---M--	200	added ('OK')	application/octet-stream	etag:%2218710f16312025d1c75893eeff15e235-ssl%22	https://vincentetdussault.com/site.webmanifest	C:/Users/Administrator/Desktop/DDCI%20VICENTE/vincentetdussault.com/site.webmanifest	(from https://vincentetdussault.com/)
09:18:20	4093/4093	---M-Z	200	added ('OK')	text/css	date:Fri,%2031%20Jan%202025%2015:18:01%20GMT	https://use.typekit.net/lfn8zwm.css	C:/Users/Administrator/Desktop/DDCI%20VICENTE/use.typekit.net/lfn8zwm.css	(from https://vincentetdussault.com/)
09:18:20	102641/102641	---MCZ	200	added ('OK')	text/css	etag:W/%229402848c3d4bbc710c764326f8b887c9%22	https://use.fontawesome.com/releases/v6.5.1/css/all.css	C:/Users/Administrator/Desktop/DDCI%20VICENTE/use.fontawesome.com/releases/v6.5.1/css/all.css	(from https://vincentetdussault.com/)
09:18:22	770/770	---M--	200	added ('OK')	text/css	etag:%225cfa1ed8f8d2633de2ac8ce59a3fc359-ssl%22	https://vincentetdussault.com/css/reset.min.9a00fd651c7dd05f3c80728cd48c98570cccb9ec3c5a36369c920c7d7a7a0088.css	C:/Users/Administrator/Desktop/DDCI%20VICENTE/vincentetdussault.com/css/reset.min.9a00fd651c7dd05f3c80728cd48c98570cccb9ec3c5a36369c920c7d7a7a0088.css	(from https://vincentetdussault.com/)
